id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,media_type
13150,Pride and Glory,6.38,802,Released,2008-09-09,31200557,130,False,/5B6seAIfg0lMCISu98ycP5c4v2s.jpg,30000000,http://www.prideandglorymovie.com/,tt0482572,en,Pride and Glory,"A saga centered on a multi-generational family of New York City Police officers. The family's moral codes are tested when Ray Tierney, investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.",14.804,/8VZ1ABbtXqwPcc06yXbf3gj3anG.jpg,Truth. Honor. Loyalty. Family. What are you willing to sacrifice?,"Crime, Drama, Mystery, Thriller","New Line Cinema, Solaris Film, O'Connor Brothers, Avery Pix, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG","United States of America, Germany",English,"police, megacity, brother-in-law",movie
840326,Sisu,7.532,1325,Released,2023-01-27,13009289,91,False,/o9bbojtrrpl0yriiTmzC3Lp3OhA.jpg,6200000,,tt14846026,fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",157.379,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,Vengeance is golden.,"Action, War","Subzero Film Entertainment, Good Chaos, Stage 6 Films","Finland, United Kingdom, United States of America","English, Finnish","world war ii, lapland, nordic mythology, soldier, finnish mythology, bloody, violence",movie
4257,Scary Movie 4,5.475,2987,Released,2006-04-12,178262620,83,False,/uFcFomOJbRHGsPId6U4Xcdacvt1.jpg,45000000,,tt0362120,en,Scary Movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",43.397,/sEqFdw1wLtY94RKCSPolsHWzn6r.jpg,Bury the grudge. Burn the village.  See the saw.,Comedy,"Dimension Films, 415 Project, Brad Grey Pictures, Scary Movie 4, Miramax, Buena Vista International",United States of America,English,"haunted house, haunting, parody, alien life-form, riesen-ipod, crude humor, spoof, conflict, horror spoof, alien invasion, family, horror parody, dumb blonde",movie
16337,The Texas Chainsaw Massacre 2,5.649,750,Released,1986-08-22,8025872,101,False,/i7MuOy3doflbnLeHQezpMI8whk7.jpg,4500000,,tt0092076,en,The Texas Chainsaw Massacre 2,"Chainsaw-wielding maniac Leatherface is up to his cannibalistic ways once again, along with the rest of his twisted clan, including the equally disturbed Chop-Top. This time, the masked killer has set his sights on pretty disc jockey Vanita ""Stretch"" Brock, who teams up with Texas lawman Lefty Enright to battle the psychopath and his family deep within their lair, a macabre abandoned amusement park.",26.399,/3HdDJ8ahSRsUiJmf9CHMq4hQDtx.jpg,After a decade of silence... The buzzz is back!,"Comedy, Horror","Cannon Group, Golan-Globus Productions",United States of America,English,"vietnam veteran, radio station, yuppie, texas, dark comedy, gore, sequel, revenge, murder, decapitation, slasher, chainsaw, car accident, masked villain, chili, cannibalism, human skin mask, female dj",movie
133698,A Perfect Plan,5.856,576,Released,2012-10-29,0,104,False,/jMq2UM1GZdHpeCfGMc62Odic2Ws.jpg,0,,tt1986843,fr,Un plan parfait,"Successful woman in love tries to break her family curse of every first marriage ending in divorce, by dashing to the alter with a random stranger before marrying her boyfriend.",12.355,/iPFBW4KaLyCdXwEsa2TXRBW0Jxe.jpg,,"Comedy, Romance","Quad Productions, TF1 Films Production",France,"French, German, Polish, Italian","france, love",movie
20504,The Book of Eli,6.781,5636,Released,2010-01-14,157107755,118,False,/aPrrrGtSjXbw8XnpzsVJgF0ioq3.jpg,80000000,,tt1037705,en,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",36.812,/1H1y9ZiqNFaLgQiRDDZLA55PviW.jpg,Some will kill to have it. He will kill to protect it.,"Action, Thriller, Science Fiction","Alcon Entertainment, Silver Pictures",United States of America,English,"faith, chaos, dystopia, post-apocalyptic future, bible, survival, gunfight, blind, brutality, cannibal, combat, 2040s, carnage",movie
83899,You're Next,6.593,2296,Released,2013-08-22,14347000,94,False,/okjEw4GrEqn4seWkvUHIUXogQZD.jpg,1000000,,tt1853739,en,You're Next,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.",33.781,/fuVVOSyXW4kFiK6M5zLsDMIjTa1.jpg,Did You Remember To Lock Your Door?,"Horror, Thriller, Mystery","Snoot Entertainment, HanWay Films","United Kingdom, United States of America",English,"greed, missouri, family dinner, brother against brother, massacre, home invasion, dead family, crossbow, independent film, face-off, lonely road, grounded people",movie
400160,The SpongeBob Movie: Sponge on the Run,7.509,2712,Released,2020-08-14,4700000,95,False,/wu1uilmhM4TdluKi2ytfz8gidHf.jpg,60000000,https://www.spongebobmovie.com/,tt4823776,en,The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",50.823,/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,They're Not in Bikini Bottom Anymore.,"Family, Animation, Fantasy, Adventure, Comedy","United Plankton Pictures, Nickelodeon Movies, Paramount Animation, Paramount, MRC, Mikros Image","France, United States of America",English,"part live action, based on tv series",movie
272878,Max,7.164,743,Released,2015-06-26,43967255,111,False,/phB8F1XeMhBEk6CbKMYgm6SIphi.jpg,20000000,,tt3369806,en,Max,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,14.306,/d3ACos3t4YwXML8keTA0wKN8e36.jpg,Best Friend. Hero. Marine.,"Adventure, Drama, Family","Reel Chefs Catering, Sunswept Entertainment, Metro-Goldwyn-Mayer, Warner Bros. Pictures",United States of America,English,"rescue, afghanistan, based on true story, betrayal, dog, grieving, pets",movie
471474,Batman: Gotham by Gaslight,6.675,643,Released,2018-01-12,3469151,78,False,/7d7h5ATx9eUD98O0UpxICz93mNC.jpg,1000000,https://www.warnerbros.com/batman-gotham-gaslight,tt7167630,en,Batman: Gotham by Gaslight,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",11.864,/7souLi5zqQCnpZVghaXv0Wowi0y.jpg,"As the Ripper stalks Gotham City, the Dark Knight reveals the face of terror.","Thriller, Action, Animation, Science Fiction","Warner Bros. Animation, DC Entertainment",United States of America,English,"jack the ripper, based on comic, adult animation",movie
916224,Suzume,7.967,684,Released,2022-11-11,321092572,123,False,/4tdV5AeojEdbvn6VpeQrbuDlmzs.jpg,0,https://www.suzume-movie.com,tt16428256,ja,すずめの戸締まり,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",175.357,/vIeu8WysZrTSFb2uhPViKjX9EcC.jpg,"On the other side of the door, was time in its entirety.","Animation, Drama, Adventure, Fantasy","CoMix Wave Films, Story, Lawson Entertainment, East Japan Marketing & Communications, voque ting, KADOKAWA, Aniplex, TOHO",Japan,Japanese,"magic, door, natural disaster, calamity, travel, teenage girl, female protagonist, supernatural creature, enviromental, journey, anime, cliché",movie
436969,The Suicide Squad,7.557,7692,Released,2021-07-28,168717425,132,False,/jlGmlFOcfo8n5tURmhC7YVd4Iyy.jpg,185000000,https://www.thesuicidesquad.net,tt6334354,en,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",63.194,/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg,They're dying to save the world.,"Action, Comedy, Adventure","DC Films, Atlas Entertainment, The Safran Company, Warner Bros. Pictures",United States of America,"English, French, Spanish","monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, dc extended universe (dceu), muscular men, character deaths",movie
454983,The Kissing Booth,7.229,6926,Released,2018-05-11,0,105,False,/aqrDUkuzksLhOD8pbyBXLO0dz5t.jpg,0,https://www.netflix.com/title/80143556,tt3799232,en,The Kissing Booth,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",36.649,/7Dktk2ST6aL8h9Oe5rpk903VLhx.jpg,"She can tell her best friend anything, except this one thing","Romance, Comedy",Komixx Entertainment,United Kingdom,English,"based on novel or book, crush, los angeles, california, high school student, based on young adult novel",movie
558,Spider-Man 2,7.258,14096,Released,2004-06-25,788976453,127,False,/8HMHE8VpkWOTmkm3c9QyEL6h1cP.jpg,200000000,https://www.sonypictures.com/movies/spiderman2,tt0316654,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",24.172,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,There's a hero in all of us.,"Action, Adventure, Fantasy","Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",United States of America,"English, Russian, Mandarin","new york city, dual identity, love of one's life, secret identity, superhero, pizza boy, based on comic, sequel, doctor, scientist, tentacle, death, super villain, young adult",movie
